1782296567 spark rtm-bench-driver                             718m   680Mi   
1782296567 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-1   172m   556Mi   
1782296567 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-2   164m   573Mi   
1782296567 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-3   430m   571Mi   
1782296567 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-4   172m   573Mi   
1782296567 spark spark-operator-controller-86d6fc858f-kcl26   1m     18Mi    
1782296567 spark spark-operator-webhook-7fbc7884c4-hfgsh      2m     18Mi    
1782296567 flink flink-kubernetes-operator-59c87b6768-vqvvn   3m    706Mi   
1782296567 kafka bench-brokers-0                             16m   3430Mi   
1782296567 kafka bench-brokers-1                             15m   3450Mi   
1782296567 kafka bench-brokers-2                             22m   3416Mi   
1782296567 kafka bench-entity-operator-79f8646f67-x5ctr      2m    231Mi    
1782296567 kafka strimzi-cluster-operator-57bc7c97d9-q7ggr   3m    260Mi    
1782296575 spark rtm-bench-driver                             247m    719Mi    
1782296575 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-1   73m     581Mi    
1782296575 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-2   108m    590Mi    
1782296575 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-3   1395m   2340Mi   
1782296575 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-4   172m    573Mi    
1782296575 spark spark-operator-controller-86d6fc858f-kcl26   1m      17Mi     
1782296575 spark spark-operator-webhook-7fbc7884c4-hfgsh      3m      18Mi     
1782296575 flink flink-kubernetes-operator-59c87b6768-vqvvn   3m    706Mi   
1782296575 kafka bench-brokers-0                             22m   3430Mi   
1782296575 kafka bench-brokers-1                             17m   3450Mi   
1782296575 kafka bench-brokers-2                             19m   3416Mi   
1782296575 kafka bench-entity-operator-79f8646f67-x5ctr      2m    231Mi    
1782296575 kafka strimzi-cluster-operator-57bc7c97d9-q7ggr   11m   259Mi    
1782296584 spark rtm-bench-driver                             247m    719Mi    
1782296584 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-1   73m     581Mi    
1782296584 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-2   108m    590Mi    
1782296584 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-3   1395m   2340Mi   
1782296584 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-4   172m    573Mi    
1782296584 spark spark-operator-controller-86d6fc858f-kcl26   1m      17Mi     
1782296584 spark spark-operator-webhook-7fbc7884c4-hfgsh      3m      18Mi     
1782296584 flink flink-kubernetes-operator-59c87b6768-vqvvn   3m    706Mi   
1782296584 kafka bench-brokers-0                             22m   3430Mi   
1782296584 kafka bench-brokers-1                             17m   3450Mi   
1782296584 kafka bench-brokers-2                             19m   3416Mi   
1782296584 kafka bench-entity-operator-79f8646f67-x5ctr      2m    231Mi    
1782296584 kafka strimzi-cluster-operator-57bc7c97d9-q7ggr   11m   259Mi    
1782296592 spark rtm-bench-driver                             241m    739Mi    
1782296592 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-1   2556m   2351Mi   
1782296592 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-2   1465m   2360Mi   
1782296592 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-3   1367m   2370Mi   
1782296592 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-4   1580m   2363Mi   
1782296592 spark spark-operator-controller-86d6fc858f-kcl26   1m      17Mi     
1782296592 spark spark-operator-webhook-7fbc7884c4-hfgsh      2m      18Mi     
1782296592 flink flink-kubernetes-operator-59c87b6768-vqvvn   2m    706Mi   
1782296592 kafka bench-brokers-0                             2369m   3586Mi   
1782296592 kafka bench-brokers-1                             1980m   3525Mi   
1782296592 kafka bench-brokers-2                             1851m   3538Mi   
1782296592 kafka bench-entity-operator-79f8646f67-x5ctr      3m      231Mi    
1782296592 kafka latency-consumer-tncwh                      593m    25Mi     
1782296592 kafka producer-0-dvtbj                            349m    10Mi     
1782296592 kafka producer-1-5h7fd                            313m    10Mi     
1782296592 kafka producer-2-5rlgc                            361m    9Mi      
1782296592 kafka producer-3-gnvns                            297m    10Mi     
1782296592 kafka producer-4-nr4gx                            275m    10Mi     
1782296592 kafka producer-5-79h27                            247m    10Mi     
1782296592 kafka producer-6-pj9fd                            363m    10Mi     
1782296592 kafka producer-7-79bcw                            358m    9Mi      
1782296592 kafka strimzi-cluster-operator-57bc7c97d9-q7ggr   3m      259Mi    
1782296599 spark rtm-bench-driver                             241m    739Mi    
1782296599 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-1   2556m   2351Mi   
1782296599 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-2   1465m   2360Mi   
1782296599 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-3   1367m   2370Mi   
1782296599 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-4   1580m   2363Mi   
1782296599 spark spark-operator-controller-86d6fc858f-kcl26   1m      17Mi     
1782296599 spark spark-operator-webhook-7fbc7884c4-hfgsh      2m      18Mi     
1782296599 flink flink-kubernetes-operator-59c87b6768-vqvvn   2m    706Mi   
1782296599 kafka bench-brokers-0                             2369m   3586Mi   
1782296599 kafka bench-brokers-1                             1980m   3525Mi   
1782296599 kafka bench-brokers-2                             1851m   3538Mi   
