1782322634 spark rtm-bench-driver                             822m   669Mi   
1782322634 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        420m   560Mi   
1782322634 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        20m    557Mi   
1782322634 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        13m    554Mi   
1782322634 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        316m   562Mi   
1782322634 spark spark-operator-controller-86d6fc858f-tgr57   1m     17Mi    
1782322634 spark spark-operator-webhook-7fbc7884c4-2b778      2m     19Mi    
1782322634 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    751Mi   
1782322644 spark rtm-bench-driver                             13m     672Mi    
1782322644 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        1050m   2315Mi   
1782322644 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        690m    2294Mi   
1782322644 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        13m     554Mi    
1782322644 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        13m     563Mi    
1782322644 spark spark-operator-controller-86d6fc858f-tgr57   1m      17Mi     
1782322644 spark spark-operator-webhook-7fbc7884c4-2b778      2m      19Mi     
1782322644 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    751Mi   
1782322658 spark rtm-bench-driver                             11m     673Mi    
1782322658 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        1209m   2321Mi   
1782322658 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        1440m   2304Mi   
1782322658 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        1183m   2308Mi   
1782322658 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        2839m   2318Mi   
1782322658 spark spark-operator-controller-86d6fc858f-tgr57   1m      17Mi     
1782322658 spark spark-operator-webhook-7fbc7884c4-2b778      3m      19Mi     
1782322658 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    751Mi   
1782322668 spark rtm-bench-driver                             11m     673Mi    
1782322668 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        1209m   2321Mi   
1782322668 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        1440m   2304Mi   
1782322668 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        1183m   2308Mi   
1782322668 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        2839m   2318Mi   
1782322668 spark spark-operator-controller-86d6fc858f-tgr57   1m      17Mi     
