epoch,container,cpu_pct,mem_used_mb,mem_pct
1782383759,kafka,122.73,1219.6,3.78
1782383759,flink-jobmanager,1.90,1226.8,3.80
1782383759,flink-taskmanager,4.92,1074.2,3.33
1782383762,kafka,28.43,1061.9,3.29
1782383762,flink-jobmanager,1.09,1237.0,3.83
1782383762,flink-taskmanager,88.99,1196.0,3.70
1782383765,kafka,33.61,1075.2,3.33
1782383765,flink-jobmanager,6.65,1238.0,3.83
1782383765,flink-taskmanager,73.71,1330.2,4.12
1782383768,kafka,32.39,1071.1,3.32
1782383768,flink-jobmanager,1.58,1238.0,3.83
1782383768,flink-taskmanager,41.46,1526.8,4.73
1782383772,kafka,35.57,1073.2,3.32
1782383772,flink-jobmanager,1.14,1238.0,3.83
1782383772,flink-taskmanager,25.01,1643.5,5.09
1782383775,kafka,35.00,1073.2,3.32
1782383775,flink-jobmanager,3.36,1238.0,3.83
1782383775,flink-taskmanager,23.52,1641.5,5.08
1782383778,kafka,137.38,1072.1,3.32
1782383778,flink-jobmanager,1.63,1238.0,3.83
1782383778,flink-taskmanager,25.04,1641.5,5.08
1782383781,kafka,33.20,1073.2,3.32
1782383781,flink-jobmanager,3.27,1238.0,3.83
1782383781,flink-taskmanager,25.71,1642.5,5.09
1782383784,kafka,115.62,1073.2,3.32
1782383784,flink-jobmanager,1.57,1238.0,3.83
1782383784,flink-taskmanager,20.66,1641.5,5.08
1782383787,kafka,31.43,1074.2,3.33
1782383787,flink-jobmanager,0.76,1238.0,3.83
1782383787,flink-taskmanager,25.05,1641.5,5.08
1782383790,kafka,34.85,1075.2,3.33
1782383790,flink-jobmanager,1.82,1239.0,3.84
1782383790,flink-taskmanager,22.25,1641.5,5.08
1782383793,kafka,36.22,1075.2,3.33
1782383793,flink-jobmanager,0.86,1239.0,3.84
1782383793,flink-taskmanager,24.40,1641.5,5.08
1782383796,kafka,28.81,1077.2,3.33
1782383796,flink-jobmanager,19.74,1254.4,3.89
1782383796,flink-taskmanager,20.15,1641.5,5.08
1782383799,kafka,31.14,1076.2,3.33
1782383799,flink-jobmanager,0.88,1255.4,3.89
1782383799,flink-taskmanager,26.55,1635.3,5.06
1782383802,kafka,29.01,1078.3,3.34
1782383802,flink-jobmanager,1.36,1255.4,3.89
1782383802,flink-taskmanager,21.40,1635.3,5.06
1782383805,kafka,30.31,1078.3,3.34
1782383805,flink-jobmanager,11.52,1255.4,3.89
1782383805,flink-taskmanager,25.12,1635.3,5.06
1782383808,kafka,36.73,1079.3,3.34
1782383808,flink-jobmanager,1.58,1255.4,3.89
1782383808,flink-taskmanager,20.26,1632.3,5.05
1782383812,kafka,29.07,1079.3,3.34
1782383812,flink-jobmanager,2.77,1255.4,3.89
1782383812,flink-taskmanager,19.91,1631.2,5.05
1782383815,kafka,33.81,1086.5,3.36
1782383815,flink-jobmanager,1.63,1255.4,3.89
1782383815,flink-taskmanager,21.43,1631.2,5.05
1782383818,kafka,36.29,1082.4,3.35
1782383818,flink-jobmanager,1.54,1253.4,3.88
1782383818,flink-taskmanager,22.02,1631.2,5.05
1782383821,kafka,33.32,1078.3,3.34
1782383821,flink-jobmanager,3.13,1254.4,3.88
1782383821,flink-taskmanager,22.42,1627.1,5.04
1782383824,kafka,51.16,1116.2,3.46
1782383824,flink-jobmanager,0.85,1253.4,3.88
1782383824,flink-taskmanager,23.14,1627.1,5.04
1782383827,kafka,29.54,1079.3,3.34
1782383827,flink-jobmanager,1.41,1253.4,3.88
1782383827,flink-taskmanager,20.95,1646.6,5.10
1782383830,kafka,80.17,1141.8,3.53
1782383830,flink-jobmanager,0.80,1258.5,3.90
1782383830,flink-taskmanager,21.41,1645.6,5.10
1782383833,kafka,30.08,1079.3,3.34
1782383833,flink-jobmanager,1.45,1258.5,3.90
1782383833,flink-taskmanager,20.77,1646.6,5.10
1782383836,kafka,114.54,1175.6,3.64
1782383836,flink-jobmanager,6.37,1258.5,3.90
1782383836,flink-taskmanager,23.87,1646.6,5.10
1782383839,kafka,32.92,1084.4,3.36
1782383839,flink-jobmanager,0.94,1258.5,3.90
1782383839,flink-taskmanager,20.99,1645.6,5.10
1782383842,kafka,149.42,1245.2,3.85
1782383842,flink-jobmanager,2.37,1258.5,3.90
1782383842,flink-taskmanager,21.44,1645.6,5.10
1782383845,kafka,31.61,1084.4,3.36
1782383845,flink-jobmanager,1.89,1258.5,3.90
1782383845,flink-taskmanager,25.44,1643.5,5.09
1782383848,kafka,31.09,1085.4,3.36
1782383848,flink-jobmanager,1.58,1258.5,3.90
1782383848,flink-taskmanager,22.64,1652.7,5.12
1782383851,kafka,28.81,1086.5,3.36
1782383851,flink-jobmanager,2.90,1258.5,3.90
1782383851,flink-taskmanager,19.42,1652.7,5.12
1782383854,kafka,151.12,1245.2,3.85
1782383854,flink-jobmanager,1.28,1258.5,3.90
1782383854,flink-taskmanager,22.81,1651.7,5.12
1782383858,kafka,29.50,1086.5,3.36
1782383858,flink-jobmanager,1.66,1259.5,3.90
1782383858,flink-taskmanager,24.79,1651.7,5.12
1782383861,kafka,150.21,1086.5,3.36
1782383861,flink-jobmanager,1.51,1259.5,3.90
1782383861,flink-taskmanager,21.39,1651.7,5.12
1782383864,kafka,36.50,1086.5,3.36
1782383864,flink-jobmanager,0.91,1259.5,3.90
1782383864,flink-taskmanager,23.70,1652.7,5.12
1782383867,kafka,116.93,1088.5,3.37
1782383867,flink-jobmanager,2.61,1259.5,3.90
1782383867,flink-taskmanager,19.78,1652.7,5.12
1782383870,kafka,32.23,1091.6,3.38
1782383870,flink-jobmanager,0.88,1247.2,3.86
1782383870,flink-taskmanager,22.08,1649.7,5.11
1782383873,kafka,80.97,1089.5,3.37
1782383873,flink-jobmanager,1.20,1247.2,3.86
1782383873,flink-taskmanager,21.37,1649.7,5.11
1782383876,kafka,32.90,1089.5,3.37
1782383876,flink-jobmanager,1.50,1247.2,3.86
1782383876,flink-taskmanager,25.04,1635.3,5.06
1782383879,kafka,53.89,1089.5,3.37
1782383879,flink-jobmanager,1.96,1251.3,3.88
1782383879,flink-taskmanager,19.97,1636.4,5.07
1782383882,kafka,31.75,1094.7,3.39
1782383882,flink-jobmanager,2.60,1248.3,3.86
1782383882,flink-taskmanager,22.50,1635.3,5.06
1782383885,kafka,158.56,1249.3,3.87
1782383885,flink-jobmanager,1.43,1245.2,3.86
1782383885,flink-taskmanager,31.83,1645.6,5.10
1782383888,kafka,32.44,1091.6,3.38
1782383888,flink-jobmanager,1.51,1245.2,3.86
1782383888,flink-taskmanager,21.91,1649.7,5.11
1782383891,kafka,32.52,1091.6,3.38
1782383891,flink-jobmanager,1.98,1245.2,3.86
1782383891,flink-taskmanager,22.74,1648.6,5.11
1782383894,kafka,34.58,1090.6,3.38
1782383894,flink-jobmanager,1.35,1245.2,3.86
1782383894,flink-taskmanager,25.47,1648.6,5.11
1782383897,kafka,32.32,1091.6,3.38
1782383897,flink-jobmanager,1.65,1245.2,3.86
1782383897,flink-taskmanager,21.75,1648.6,5.11
1782383900,kafka,31.01,1091.6,3.38
1782383900,flink-jobmanager,1.66,1243.1,3.85
1782383900,flink-taskmanager,21.30,1649.7,5.11
1782383903,kafka,35.66,1091.6,3.38
1782383903,flink-jobmanager,1.42,1243.1,3.85
1782383903,flink-taskmanager,24.65,1648.6,5.11
1782383907,kafka,30.78,1092.6,3.38
1782383907,flink-jobmanager,2.61,1244.2,3.85
1782383907,flink-taskmanager,19.79,1649.7,5.11
1782383910,kafka,34.57,1093.6,3.39
1782383910,flink-jobmanager,0.85,1251.3,3.88
1782383910,flink-taskmanager,23.07,1648.6,5.11
1782383913,kafka,35.64,1093.6,3.38
1782383913,flink-jobmanager,1.43,1248.3,3.87
1782383913,flink-taskmanager,22.53,1648.6,5.11
1782383916,kafka,33.96,1094.7,3.39
1782383916,flink-jobmanager,4.62,1249.3,3.87
1782383916,flink-taskmanager,21.03,1649.7,5.11
1782383919,kafka,32.51,1093.6,3.39
1782383919,flink-jobmanager,1.63,1249.3,3.87
1782383919,flink-taskmanager,22.86,1633.3,5.06
1782383921,kafka,66.98,1090.6,3.38
1782383921,flink-jobmanager,1.30,1245.2,3.85
1782383921,flink-taskmanager,20.73,1634.3,5.06
1782383924,kafka,34.73,1092.6,3.38
1782383924,flink-jobmanager,0.78,1245.2,3.85
1782383924,flink-taskmanager,26.67,1634.3,5.06
1782383927,kafka,27.86,1093.6,3.39
1782383927,flink-jobmanager,2.20,1267.7,3.93
1782383927,flink-taskmanager,21.03,1634.3,5.06
1782383930,kafka,33.30,1092.6,3.38
1782383930,flink-jobmanager,1.34,1265.7,3.92
1782383930,flink-taskmanager,23.16,1634.3,5.06
1782383933,kafka,28.81,1093.6,3.38
1782383933,flink-jobmanager,0.66,1266.7,3.92
1782383933,flink-taskmanager,23.91,1634.3,5.06
1782383936,kafka,32.83,1094.7,3.39
1782383936,flink-jobmanager,1.10,1269.8,3.93
1782383936,flink-taskmanager,23.32,1634.3,5.06
1782383939,kafka,33.01,1094.7,3.39
1782383939,flink-jobmanager,0.82,1262.6,3.91
1782383939,flink-taskmanager,23.96,1635.3,5.06
1782383942,kafka,36.33,1094.7,3.39
1782383942,flink-jobmanager,2.52,1262.6,3.91
