epoch,container,cpu_pct,mem_used_mb,mem_pct
1782215380,kafka,11.30,1004,12.81
1782215380,flink-jobmanager,13.52,747.2,9.54
1782215380,flink-taskmanager,4.17,1056.8,13.48
1782215383,kafka,21.06,951.3,12.14
1782215383,flink-jobmanager,0.63,741.9,9.47
1782215383,flink-taskmanager,70.94,1084.4,13.85
1782215386,kafka,25.76,947.6,12.09
1782215386,flink-jobmanager,0.80,731.8,9.34
1782215386,flink-taskmanager,47.85,1088.5,13.89
1782215389,kafka,26.68,948.1,12.10
1782215389,flink-jobmanager,2.39,731.9,9.34
1782215389,flink-taskmanager,58.21,1087.5,13.88
1782215392,kafka,26.36,940,12.00
1782215392,flink-jobmanager,0.74,731.9,9.34
1782215392,flink-taskmanager,35.28,1086.5,13.86
1782215395,kafka,25.74,940.3,12.00
1782215395,flink-jobmanager,0.96,732.9,9.35
1782215395,flink-taskmanager,30.85,1082.4,13.81
1782215398,kafka,24.01,940.5,12.00
1782215398,flink-jobmanager,0.58,730.7,9.33
1782215398,flink-taskmanager,56.50,1101.8,14.06
1782215401,kafka,23.65,943,12.03
1782215401,flink-jobmanager,0.96,733.5,9.36
1782215401,flink-taskmanager,14.39,1098.8,14.02
1782215404,kafka,124.04,941.1,12.01
1782215404,flink-jobmanager,13.77,739.6,9.44
1782215404,flink-taskmanager,20.49,1092.6,13.95
1782215407,kafka,30.99,941.1,12.01
1782215407,flink-jobmanager,1.04,739.6,9.44
1782215407,flink-taskmanager,18.47,1092.6,13.94
1782215410,kafka,101.83,942,12.02
1782215410,flink-jobmanager,2.71,739.7,9.44
1782215410,flink-taskmanager,14.90,1093.6,13.95
1782215413,kafka,34.03,943.8,12.04
1782215413,flink-jobmanager,1.33,739.8,9.44
1782215413,flink-taskmanager,22.23,1070.1,13.66
1782215416,kafka,55.72,941.5,12.02
1782215416,flink-jobmanager,0.81,739.9,9.44
1782215416,flink-taskmanager,14.48,1076.2,13.74
1782215420,kafka,26.21,941.8,12.02
1782215420,flink-jobmanager,3.12,740,9.44
1782215420,flink-taskmanager,19.45,1077.2,13.74
1782215423,kafka,132.16,1089.5,13.90
1782215423,flink-jobmanager,0.87,740,9.44
1782215423,flink-taskmanager,16.04,1091.6,13.93
1782215426,kafka,29.90,942.4,12.03
1782215426,flink-jobmanager,1.62,740,9.44
1782215426,flink-taskmanager,17.67,1091.6,13.93
1782215429,kafka,29.57,942.5,12.03
1782215429,flink-jobmanager,1.04,740.1,9.44
1782215429,flink-taskmanager,11.74,1092.6,13.94
1782215432,kafka,29.67,943.1,12.04
1782215432,flink-jobmanager,1.01,739.4,9.44
1782215432,flink-taskmanager,20.69,1092.6,13.94
1782215435,kafka,25.85,942.7,12.03
1782215435,flink-jobmanager,2.77,739.5,9.44
1782215435,flink-taskmanager,10.87,1092.6,13.95
1782215438,kafka,29.54,942.3,12.03
1782215438,flink-jobmanager,1.14,739.5,9.44
1782215438,flink-taskmanager,20.02,1093.6,13.95
1782215441,kafka,29.43,942.8,12.03
1782215441,flink-jobmanager,1.07,739.5,9.44
1782215441,flink-taskmanager,19.65,1092.6,13.95
1782215444,kafka,28.88,943.4,12.04
1782215444,flink-jobmanager,1.06,739.5,9.44
1782215444,flink-taskmanager,19.88,1093.6,13.95
1782215447,kafka,31.76,944.3,12.05
1782215447,flink-jobmanager,0.99,739.6,9.44
1782215447,flink-taskmanager,18.27,1086.5,13.86
1782215450,kafka,23.49,943.3,12.04
1782215450,flink-jobmanager,2.79,739.6,9.44
1782215450,flink-taskmanager,26.74,1092.6,13.94
1782215453,kafka,25.68,946.5,12.08
1782215453,flink-jobmanager,1.19,739.6,9.44
1782215453,flink-taskmanager,20.31,1083.4,13.82
1782215456,kafka,26.01,943.1,12.04
1782215456,flink-jobmanager,1.00,740.1,9.44
1782215456,flink-taskmanager,18.11,1087.5,13.88
1782215460,kafka,31.71,943.7,12.04
1782215460,flink-jobmanager,7.28,741.2,9.46
1782215460,flink-taskmanager,26.11,1088.5,13.89
1782215463,kafka,30.21,943.7,12.04
1782215463,flink-jobmanager,1.31,740.6,9.45
1782215463,flink-taskmanager,20.00,1087.5,13.88
1782215466,kafka,28.11,944.9,12.06
1782215466,flink-jobmanager,1.04,740.7,9.45
1782215466,flink-taskmanager,17.19,1087.5,13.88
1782215469,kafka,29.43,944.2,12.05
1782215469,flink-jobmanager,1.02,740.7,9.45
1782215469,flink-taskmanager,18.02,1088.5,13.89
1782215472,kafka,29.23,944,12.05
1782215472,flink-jobmanager,1.15,741,9.46
1782215472,flink-taskmanager,20.40,1088.5,13.89
1782215475,kafka,31.08,944.4,12.05
1782215475,flink-jobmanager,2.28,741.1,9.46
1782215475,flink-taskmanager,15.28,1088.5,13.89
1782215478,kafka,31.08,944,12.05
1782215478,flink-jobmanager,1.02,741.1,9.46
1782215478,flink-taskmanager,20.51,1088.5,13.89
1782215481,kafka,23.85,945.2,12.06
1782215481,flink-jobmanager,5.88,741.6,9.46
1782215481,flink-taskmanager,14.72,1088.5,13.89
1782215484,kafka,30.25,946.5,12.08
1782215484,flink-jobmanager,1.04,741.6,9.46
1782215484,flink-taskmanager,19.41,1089.5,13.90
1782215487,kafka,145.73,1092.6,13.94
1782215487,flink-jobmanager,0.61,726.9,9.28
1782215487,flink-taskmanager,17.74,1088.5,13.89
1782215490,kafka,20.83,944.2,12.05
1782215490,flink-jobmanager,3.44,727.1,9.28
1782215490,flink-taskmanager,16.42,1088.5,13.89
1782215493,kafka,121.57,1094.7,13.96
1782215493,flink-jobmanager,0.70,727.1,9.28
1782215493,flink-taskmanager,17.10,1088.5,13.89
1782215496,kafka,28.07,947.6,12.09
1782215496,flink-jobmanager,1.15,727.2,9.28
1782215496,flink-taskmanager,17.01,1088.5,13.89
1782215500,kafka,31.60,954.5,12.18
1782215500,flink-jobmanager,1.50,727.3,9.28
1782215500,flink-taskmanager,13.75,1088.5,13.89
