epoch,container,cpu_pct,mem_used_mb,mem_pct
1782217676,kafka,9.60,1025.0,13.09
1782217676,flink-jobmanager,1.47,879.3,11.22
1782217676,flink-taskmanager,19.71,1520.6,19.40
1782217679,kafka,69.26,1025.0,13.08
1782217679,flink-jobmanager,2.47,879.2,11.22
1782217679,flink-taskmanager,161.12,1570.8,20.04
1782217682,kafka,19.92,1027.1,13.11
1782217682,flink-jobmanager,1.41,879.3,11.22
1782217682,flink-taskmanager,108.44,1570.8,20.05
1782217685,kafka,19.83,1026.0,13.10
1782217685,flink-jobmanager,1.06,881.1,11.24
1782217685,flink-taskmanager,115.33,1572.9,20.07
1782217688,kafka,21.50,1026.0,13.09
1782217688,flink-jobmanager,0.59,881.2,11.25
1782217688,flink-taskmanager,109.62,1580.0,20.17
1782217691,kafka,21.88,1027.1,13.11
1782217691,flink-jobmanager,1.15,881.4,11.25
1782217691,flink-taskmanager,91.57,1575.9,20.11
1782217694,kafka,22.13,1026.0,13.09
1782217694,flink-jobmanager,2.01,881.7,11.25
1782217694,flink-taskmanager,111.30,1578.0,20.14
1782217697,kafka,21.22,1026.0,13.09
1782217697,flink-jobmanager,0.56,881.8,11.25
1782217697,flink-taskmanager,84.90,1570.8,20.05
1782217700,kafka,23.84,1026.0,13.10
1782217700,flink-jobmanager,0.71,882,11.26
1782217700,flink-taskmanager,81.70,1558.5,19.89
1782217704,kafka,21.40,1026.0,13.10
1782217704,flink-jobmanager,1.05,885.7,11.30
1782217704,flink-taskmanager,90.71,1559.6,19.90
1782217707,kafka,21.48,1026.0,13.10
1782217707,flink-jobmanager,0.65,885.8,11.30
1782217707,flink-taskmanager,94.22,1559.6,19.90
1782217710,kafka,19.01,1027.1,13.11
1782217710,flink-jobmanager,2.22,876.9,11.19
1782217710,flink-taskmanager,95.42,1563.6,19.96
1782217713,kafka,19.65,1027.1,13.11
1782217713,flink-jobmanager,0.60,876.9,11.19
1782217713,flink-taskmanager,85.74,1566.7,20.00
1782217716,kafka,20.49,1028.1,13.12
1782217716,flink-jobmanager,0.65,885.5,11.30
1782217716,flink-taskmanager,88.93,1568.8,20.02
1782217719,kafka,129.18,1171.5,14.95
1782217719,flink-jobmanager,0.67,879.9,11.23
1782217719,flink-taskmanager,86.88,1563.6,19.96
1782217722,kafka,21.53,1028.1,13.12
1782217722,flink-jobmanager,2.18,880,11.23
1782217722,flink-taskmanager,89.82,1564.7,19.97
1782217725,kafka,22.00,1028.1,13.12
1782217725,flink-jobmanager,0.82,880.4,11.24
1782217725,flink-taskmanager,75.36,1564.7,19.97
1782217728,kafka,27.10,1028.1,13.12
1782217728,flink-jobmanager,0.62,880.5,11.24
1782217728,flink-taskmanager,88.09,1556.5,19.86
1782217731,kafka,138.29,1174.5,14.99
1782217731,flink-jobmanager,0.84,880.7,11.24
1782217731,flink-taskmanager,94.80,1556.5,19.86
1782217734,kafka,21.80,1028.1,13.12
1782217734,flink-jobmanager,1.68,880.9,11.24
1782217734,flink-taskmanager,95.81,1556.5,19.86
1782217737,kafka,121.59,1029.1,13.13
1782217737,flink-jobmanager,2.30,881,11.24
1782217737,flink-taskmanager,93.68,1551.4,19.80
1782217741,kafka,22.06,1029.1,13.13
1782217741,flink-jobmanager,0.54,881,11.24
1782217741,flink-taskmanager,93.28,1553.4,19.83
1782217744,kafka,88.27,1028.1,13.13
1782217744,flink-jobmanager,0.86,881.2,11.25
1782217744,flink-taskmanager,84.94,1552.4,19.82
1782217747,kafka,22.59,1029.1,13.13
1782217747,flink-jobmanager,0.67,881.3,11.25
1782217747,flink-taskmanager,92.60,1563.6,19.95
1782217750,kafka,110.36,1127.4,14.38
1782217750,flink-jobmanager,2.63,881.4,11.25
1782217750,flink-taskmanager,85.15,1563.6,19.96
1782217753,kafka,21.73,1030.1,13.14
1782217753,flink-jobmanager,0.68,881.6,11.25
1782217753,flink-taskmanager,97.31,1563.6,19.96
1782217756,kafka,133.48,1175.6,15.01
1782217756,flink-jobmanager,0.59,881.9,11.25
1782217756,flink-taskmanager,85.32,1564.7,19.96
1782217759,kafka,22.18,1030.1,13.15
1782217759,flink-jobmanager,1.47,882,11.26
1782217759,flink-taskmanager,86.91,1551.4,19.80
1782217762,kafka,142.25,1175.6,15.01
1782217762,flink-jobmanager,1.63,882.2,11.26
1782217762,flink-taskmanager,92.07,1551.4,19.80
1782217765,kafka,18.25,1030.1,13.15
1782217765,flink-jobmanager,2.06,882.4,11.26
1782217765,flink-taskmanager,97.11,1551.4,19.80
1782217768,kafka,155.81,1176.6,15.02
1782217768,flink-jobmanager,0.62,882.4,11.26
1782217768,flink-taskmanager,93.64,1551.4,19.80
1782217771,kafka,21.66,1030.1,13.15
1782217771,flink-jobmanager,2.71,882.6,11.26
