epoch,container,cpu_pct,mem_used_mb,mem_pct
1782215923,kafka,76.80,1036.3,13.23
1782215923,spark-master,14.49,690.2,8.81
1782215923,spark-worker-1,0.17,445,5.68
1782215923,spark-worker-2,0.42,474.9,6.06
1782215926,kafka,49.31,957.4,12.22
1782215926,spark-master,14.50,696.5,8.89
1782215926,spark-worker-1,312.37,666.3,8.50
1782215926,spark-worker-2,182.06,1216.5,15.53
1782215930,kafka,104.88,1027.1,13.11
1782215930,spark-master,220.10,884.2,11.28
1782215930,spark-worker-1,119.58,688.1,8.78
1782215930,spark-worker-2,85.65,1237.0,15.79
1782215933,kafka,26.50,965.1,12.32
1782215933,spark-master,138.30,902.5,11.52
1782215933,spark-worker-1,130.44,738.2,9.42
1782215933,spark-worker-2,68.41,1242.1,15.85
1782215936,kafka,111.58,1051.6,13.43
1782215936,spark-master,136.73,905.1,11.55
1782215936,spark-worker-1,94.23,718.5,9.17
1782215936,spark-worker-2,64.64,1254.4,16.00
1782215939,kafka,21.62,960.4,12.26
1782215939,spark-master,133.43,911.5,11.63
1782215939,spark-worker-1,86.30,714.9,9.12
1782215939,spark-worker-2,69.36,1265.7,16.16
1782215942,kafka,132.81,1088.5,13.89
1782215942,spark-master,140.39,909.2,11.60
1782215942,spark-worker-1,85.83,719.9,9.19
1782215942,spark-worker-2,57.08,1263.6,16.12
1782215945,kafka,22.50,961.1,12.27
1782215945,spark-master,120.24,913.2,11.65
1782215945,spark-worker-1,56.50,720.5,9.19
1782215945,spark-worker-2,41.69,1264.6,16.13
1782215948,kafka,22.72,959.1,12.24
1782215948,spark-master,124.49,915.4,11.68
1782215948,spark-worker-1,48.94,721.2,9.20
1782215948,spark-worker-2,49.11,1265.7,16.15
1782215951,kafka,20.49,958.9,12.24
1782215951,spark-master,122.58,916.8,11.70
1782215951,spark-worker-1,44.09,721.5,9.21
1782215951,spark-worker-2,27.39,1266.7,16.17
1782215954,kafka,22.15,960.4,12.26
1782215954,spark-master,127.55,924.2,11.79
1782215954,spark-worker-1,46.79,714.9,9.12
1782215954,spark-worker-2,24.46,1267.7,16.18
1782215957,kafka,21.69,959.4,12.24
1782215957,spark-master,129.43,919.9,11.74
1782215957,spark-worker-1,42.26,715.6,9.13
1782215957,spark-worker-2,28.06,1270.8,16.22
1782215960,kafka,147.64,959.6,12.25
1782215960,spark-master,105.87,920.6,11.75
1782215960,spark-worker-1,66.83,723.9,9.24
1782215960,spark-worker-2,30.24,1270.8,16.21
1782215963,kafka,25.73,960.9,12.26
1782215963,spark-master,118.07,925.6,11.81
1782215963,spark-worker-1,41.95,724.9,9.25
1782215963,spark-worker-2,34.93,1270.8,16.22
1782215966,kafka,124.92,960.9,12.26
1782215966,spark-master,109.30,921.4,11.76
1782215966,spark-worker-1,45.29,725.2,9.25
1782215966,spark-worker-2,25.02,1270.8,16.22
1782215969,kafka,21.00,960.9,12.26
1782215969,spark-master,141.86,930.3,11.87
1782215969,spark-worker-1,68.13,716.9,9.15
1782215969,spark-worker-2,31.24,1270.8,16.22
1782215973,kafka,81.43,960,12.25
1782215973,spark-master,112.62,927.7,11.84
1782215973,spark-worker-1,36.07,717.2,9.15
1782215973,spark-worker-2,24.49,1271.8,16.23
1782215976,kafka,26.52,964.5,12.31
1782215976,spark-master,112.56,928.2,11.85
1782215976,spark-worker-1,39.71,717.2,9.15
1782215976,spark-worker-2,48.11,1274.9,16.27
1782215979,kafka,53.01,973.4,12.42
1782215979,spark-master,105.32,930.9,11.88
1782215979,spark-worker-1,31.76,717.8,9.16
1782215979,spark-worker-2,24.39,1274.9,16.28
1782215982,kafka,20.20,961,12.26
1782215982,spark-master,105.11,922.4,11.77
1782215982,spark-worker-1,32.34,717.9,9.16
1782215982,spark-worker-2,22.75,1272.8,16.24
1782215985,kafka,38.05,961.1,12.27
1782215985,spark-master,128.70,959.7,12.25
1782215985,spark-worker-1,39.06,718,9.16
1782215985,spark-worker-2,37.77,1272.8,16.24
1782215988,kafka,20.08,961.8,12.27
1782215988,spark-master,99.44,961.7,12.27
1782215988,spark-worker-1,43.74,718.5,9.17
1782215988,spark-worker-2,29.31,1273.9,16.26
1782215991,kafka,21.38,961.2,12.27
1782215991,spark-master,108.54,965.3,12.32
1782215991,spark-worker-1,65.09,726.2,9.27
1782215991,spark-worker-2,21.96,1273.9,16.26
1782215994,kafka,21.84,962.9,12.29
1782215994,spark-master,109.68,962.7,12.29
1782215994,spark-worker-1,41.53,727.3,9.28
1782215994,spark-worker-2,20.98,1273.9,16.26
1782215997,kafka,22.47,961.2,12.27
1782215997,spark-master,116.16,966.7,12.34
1782215997,spark-worker-1,39.52,728.1,9.29
1782215997,spark-worker-2,21.99,1273.9,16.26
1782216000,kafka,22.62,961.8,12.27
1782216000,spark-master,113.08,965,12.32
1782216000,spark-worker-1,35.90,736.8,9.40
1782216000,spark-worker-2,25.05,1273.9,16.26
1782216003,kafka,23.37,963.4,12.29
1782216003,spark-master,142.32,971.8,12.40
1782216003,spark-worker-1,36.32,726.9,9.28
1782216003,spark-worker-2,24.26,1273.9,16.26
1782216006,kafka,22.33,963.3,12.29
1782216006,spark-master,114.54,1010,12.89
1782216006,spark-worker-1,43.66,727.3,9.28
1782216006,spark-worker-2,34.31,1274.9,16.27
1782216009,kafka,21.16,963.3,12.29
1782216009,spark-master,104.83,1008,12.86
1782216009,spark-worker-1,38.43,727.4,9.28
1782216009,spark-worker-2,19.39,1284.1,16.39
1782216012,kafka,21.71,964.5,12.31
1782216012,spark-master,96.93,1005,12.82
1782216012,spark-worker-1,38.70,718.1,9.16
1782216012,spark-worker-2,20.53,1280.0,16.34
1782216016,kafka,25.70,968,12.35
1782216016,spark-master,99.76,1007,12.86
1782216016,spark-worker-1,56.76,727.7,9.29
1782216016,spark-worker-2,22.07,1281.0,16.34
1782216019,kafka,20.23,967.6,12.35
1782216019,spark-master,111.66,1013,12.93
1782216019,spark-worker-1,35.56,772.4,9.86
1782216019,spark-worker-2,20.60,1272.8,16.24
1782216022,kafka,21.10,963.8,12.30
1782216022,spark-master,102.78,1017,12.98
1782216022,spark-worker-1,38.50,728.1,9.29
1782216022,spark-worker-2,19.23,1272.8,16.25
1782216025,kafka,20.32,963.9,12.30
1782216025,spark-master,100.71,1017,12.98
1782216025,spark-worker-1,32.96,728,9.29
1782216025,spark-worker-2,19.84,1273.9,16.25
1782216028,kafka,20.46,965.5,12.32
1782216028,spark-master,116.57,1022,13.04
1782216028,spark-worker-1,32.49,728,9.29
1782216028,spark-worker-2,19.45,1273.9,16.25
1782216031,kafka,20.57,966.1,12.33
1782216031,spark-master,130.76,1027.1,13.11
1782216031,spark-worker-1,34.26,764.8,9.76
1782216031,spark-worker-2,18.76,1273.9,16.25
1782216034,kafka,23.41,966,12.33
1782216034,spark-master,114.04,1028.1,13.12
1782216034,spark-worker-1,52.77,774,9.88
1782216034,spark-worker-2,24.09,1274.9,16.27
1782216037,kafka,20.06,966.3,12.33
1782216037,spark-master,111.83,1053.7,13.44
1782216037,spark-worker-1,38.22,774.1,9.88
1782216037,spark-worker-2,25.80,1275.9,16.28
1782216040,kafka,22.05,966.2,12.33
1782216040,spark-master,108.66,1047.6,13.37
1782216040,spark-worker-1,56.57,775,9.89
1782216040,spark-worker-2,36.41,1274.9,16.27
1782216043,kafka,21.16,967.3,12.34
1782216043,spark-master,117.68,1053.7,13.45
1782216043,spark-worker-1,31.90,776.2,9.91
1782216043,spark-worker-2,24.63,1274.9,16.28
