epoch,container,cpu_pct,mem_used_mb,mem_pct
1782384115,kafka,6.54,1120.3,3.47
1782384115,spark-master,1.08,778.1,2.41
1782384115,spark-worker-1,2.24,617.7,1.91
1782384118,kafka,123.69,1231.9,3.82
1782384118,spark-master,0.95,778,2.41
1782384118,spark-worker-1,132.20,1467.4,4.54
1782384121,kafka,29.45,1124.4,3.48
1782384121,spark-master,1.80,778.1,2.41
1782384121,spark-worker-1,35.38,1478.7,4.58
1782384124,kafka,134.90,1238.0,3.83
1782384124,spark-master,0.38,778.1,2.41
1782384124,spark-worker-1,32.51,1478.7,4.58
1782384127,kafka,30.71,1124.4,3.48
1782384127,spark-master,3.54,778.2,2.41
1782384127,spark-worker-1,42.14,1477.6,4.58
1782384129,kafka,32.45,1124.4,3.48
1782384129,spark-master,0.58,778.3,2.41
1782384129,spark-worker-1,20.89,1477.6,4.57
1782384132,kafka,30.76,1125.4,3.48
1782384132,spark-master,0.81,778.4,2.41
1782384132,spark-worker-1,18.28,1472.5,4.56
1782384135,kafka,30.91,1126.4,3.49
1782384135,spark-master,0.74,778.4,2.41
1782384135,spark-worker-1,19.96,1473.5,4.56
1782384139,kafka,29.51,1126.4,3.49
1782384139,spark-master,0.41,785,2.43
1782384139,spark-worker-1,114.32,1483.8,4.59
1782384142,kafka,32.25,1126.4,3.49
1782384142,spark-master,1.74,785,2.43
1782384142,spark-worker-1,20.03,1490.9,4.62
1782384145,kafka,30.57,1126.4,3.49
1782384145,spark-master,0.26,785,2.43
1782384145,spark-worker-1,17.50,1490.9,4.62
1782384148,kafka,30.64,1129.5,3.50
1782384148,spark-master,1.54,785.1,2.43
1782384148,spark-worker-1,17.36,1490.9,4.62
1782384151,kafka,29.51,1128.4,3.49
1782384151,spark-master,0.30,785.1,2.43
1782384151,spark-worker-1,17.98,1490.9,4.62
1782384154,kafka,34.19,1129.5,3.50
1782384154,spark-master,0.26,785.2,2.43
1782384154,spark-worker-1,18.85,1490.9,4.62
1782384157,kafka,27.31,1129.5,3.50
1782384157,spark-master,5.47,785.5,2.43
1782384157,spark-worker-1,14.39,1490.9,4.62
1782384160,kafka,107.80,1220.6,3.78
1782384160,spark-master,0.29,785.4,2.43
1782384160,spark-worker-1,17.46,1490.9,4.62
1782384163,kafka,32.08,1130.5,3.50
1782384163,spark-master,0.26,785.4,2.43
1782384163,spark-worker-1,18.23,1490.9,4.62
